startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1727808300000,4.183,4.188,4.165,4.169,43970.4,183597.1111
1727808600000,4.169,4.189,4.164,4.174,65166.4,272032.3773
1727808900000,4.174,4.189,4.171,4.183,17469.6,72997.1029
1727809200000,4.183,4.187,4.172,4.178,43876.4,183307.8697
1727809500000,4.178,4.194,4.175,4.181,26290.5,109990.9652
1727809800000,4.181,4.184,4.163,4.164,18365.2,76655.0483
1727810100000,4.164,4.187,4.152,4.186,38185.2,159000.411
1727810400000,4.186,4.198,4.18,4.194,34581.4,144773.4812
1727810700000,4.194,4.208,4.193,4.199,30675.4,128827.4117
1727811000000,4.199,4.199,4.183,4.183,26723.3,111958.1829
1727811300000,4.183,4.201,4.18,4.193,56913.7,238358.0138
1727811600000,4.193,4.199,4.177,4.183,15799.9,66143.2817
1727811900000,4.183,4.187,4.17,4.17,12848.5,53695.3127
1727812200000,4.17,4.179,4.165,4.175,19290.9,80473.1939
1727812500000,4.175,4.177,4.159,4.164,18285.1,76177.6427
1727812800000,4.164,4.168,4.156,4.157,22914.2,95363.1495
1727813100000,4.157,4.16,4.136,4.137,183389.4,760127.5286
1727813400000,4.137,4.171,4.136,4.158,100645.6,417842.593
1727813700000,4.158,4.168,4.143,4.144,47316.1,196577.1526
1727814000000,4.144,4.161,4.134,4.147,37998.1,157616.8175
1727814300000,4.147,4.15,4.116,4.129,121066,499668.5562
1727814600000,4.129,4.154,4.128,4.137,55544.1,229916.4406
1727814900000,4.137,4.144,4.109,4.121,163545.9,674309.8305
1727815200000,4.121,4.159,4.094,4.155,138753.5,572454.5145
1727815500000,4.155,4.179,4.137,4.175,68867.8,286377.9713
1727815800000,4.175,4.187,4.169,4.177,47372,197967.7539
1727816100000,4.177,4.185,4.169,4.18,12258.9,51216.4329
1727816400000,4.18,4.18,4.163,4.17,28915.6,120609.5061
1727816700000,4.17,4.171,4.131,4.131,62351.6,258705.5099
1727817000000,4.131,4.163,4.127,4.163,30354.4,125778.4844
1727817300000,4.163,4.163,4.147,4.148,20945.3,87001.4348
1727817600000,4.148,4.151,4.137,4.15,16513.9,68465.5314
1727817900000,4.15,4.16,4.146,4.157,21006.6,87199.8132
1727818200000,4.157,4.162,4.147,4.156,10561.6,43885.1153
1727818500000,4.156,4.166,4.148,4.165,7670.3,31883.0797
1727818800000,4.165,4.177,4.165,4.172,8840.3,36895.5182
1727819100000,4.172,4.181,4.172,4.181,2685.4,11215.046
1727819400000,4.181,4.192,4.179,4.19,5874.5,24584.6231
1727819700000,4.19,4.198,4.187,4.195,20841.2,87356.7276
1727820000000,4.195,4.195,4.165,4.168,31350.8,131054.2971
1727820300000,4.168,4.17,4.151,4.155,42474.4,176838.1711
1727820600000,4.155,4.169,4.155,4.164,12143.5,50544.8941
1727820900000,4.164,4.176,4.162,4.17,5845.8,24377.915
1727821200000,4.17,4.173,4.162,4.172,14332.2,59749.6736
1727821500000,4.172,4.175,4.164,4.168,5579.6,23263.9788
1727821800000,4.168,4.173,4.163,4.17,7225.6,30133.7842
1727822100000,4.17,4.172,4.153,4.153,19184.1,79853.4551
1727822400000,4.153,4.157,4.14,4.141,23468.3,97332.5183
1727822700000,4.141,4.149,4.136,4.144,25311.9,104859.1752
1727823000000,4.144,4.163,4.144,4.153,12504.6,51979.075
1727823300000,4.153,4.158,4.151,4.154,6695.4,27808.9797
1727823600000,4.154,4.158,4.144,4.155,9664.3,40142.706
1727823900000,4.155,4.163,4.152,4.158,6331.9,26332.8205
1727824200000,4.158,4.158,4.148,4.153,10907.6,45313.6162
1727824500000,4.153,4.164,4.15,4.158,32069.4,133359.7398
1727824800000,4.158,4.164,4.157,4.162,7209.2,29993.0648
1727825100000,4.162,4.162,4.143,4.144,12069.1,50111.0026
1727825400000,4.144,4.148,4.139,4.148,11072.4,45885.2861
1727825700000,4.148,4.165,4.148,4.161,11755,48878.6249
1727826000000,4.161,4.167,4.157,4.166,11880.2,49425.6969
1727826300000,4.166,4.167,4.156,4.157,10320.8,42937.4617
