startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1727808300000,1.6774,1.6799,1.6627,1.6639,228075.2,381022.3393
1727808600000,1.6639,1.6717,1.6633,1.6682,242174.2,403822.31196
1727808900000,1.6682,1.6802,1.6681,1.6728,151619.2,254142.25325
1727809200000,1.6728,1.6744,1.666,1.6693,117473.9,196108.3496
1727809500000,1.6693,1.6753,1.666,1.6699,77330.6,129193.87925
1727809800000,1.6699,1.6707,1.6582,1.6589,105381.7,175243.14647
1727810100000,1.6589,1.6703,1.656,1.6689,135519.7,224975.33144
1727810400000,1.6689,1.6756,1.6661,1.674,83411.6,139371.93908
1727810700000,1.674,1.6802,1.6738,1.6779,96192.6,161309.26484
1727811000000,1.6779,1.6779,1.6644,1.6644,109074.8,182248.17902
1727811300000,1.6644,1.6717,1.6617,1.6677,86893.5,144783.38616
1727811600000,1.6677,1.6702,1.6606,1.6646,64708.9,107705.11081
1727811900000,1.6646,1.6681,1.6612,1.6618,61244.8,102005.05447
1727812200000,1.6618,1.664,1.6593,1.6612,57847,96133.74725
1727812500000,1.6612,1.6639,1.6552,1.657,52527.5,87174.89821
1727812800000,1.657,1.6603,1.6544,1.6568,88541.8,146646.25312
1727813100000,1.6568,1.6589,1.6461,1.6506,228173.5,377156.73861
1727813400000,1.6506,1.661,1.6503,1.6549,131960.6,218475.06093
1727813700000,1.6549,1.6583,1.6469,1.6479,142871.4,236044.52874
1727814000000,1.6479,1.6518,1.6424,1.6438,140082.8,230590.21697
1727814300000,1.6438,1.6457,1.6345,1.6396,313805.1,514389.89835
1727814600000,1.6396,1.6494,1.6388,1.6413,209257.4,344044.9293
1727814900000,1.6413,1.6451,1.6312,1.6331,318325.8,520711.0535
1727815200000,1.6331,1.6471,1.6216,1.646,321877.9,525206.67696
1727815500000,1.646,1.6548,1.6358,1.6535,190383.7,313288.38153
1727815800000,1.6535,1.6608,1.6513,1.6549,150071,248561.73061
1727816100000,1.6549,1.6578,1.6489,1.6536,72292.3,119571.15487
1727816400000,1.6536,1.6566,1.6492,1.6521,94730.3,156477.60601
1727816700000,1.6521,1.6532,1.6408,1.6414,62481.1,102961.60178
1727817000000,1.6414,1.6518,1.638,1.6511,140729.3,231334.39164
1727817300000,1.6511,1.652,1.6447,1.645,51778.4,85295.95628
1727817600000,1.645,1.6487,1.642,1.6484,38966.6,64101.8415
1727817900000,1.6484,1.6516,1.6452,1.6514,23265.1,38358.8415
1727818200000,1.6514,1.6514,1.6447,1.6466,31900.2,52544.16631
1727818500000,1.6466,1.6477,1.6424,1.6473,55528,91298.38697
1727818800000,1.6473,1.6549,1.6455,1.6539,59698.8,98549.29702
1727819100000,1.6539,1.6593,1.6529,1.6575,26831.4,44418.24871
1727819400000,1.6575,1.6799,1.6569,1.6782,501079.9,837110.28729
1727819700000,1.6782,1.6816,1.6736,1.6801,159427.8,267525.51907
1727820000000,1.6801,1.6801,1.6615,1.664,124224.3,207629.51152
1727820300000,1.664,1.6646,1.655,1.6564,105354.8,174917.48913
1727820600000,1.6564,1.6671,1.6562,1.6649,68043.3,113025.237
1727820900000,1.6649,1.6739,1.6648,1.6691,53591.4,89471.0435
1727821200000,1.6691,1.6714,1.6623,1.6656,40724.9,67854.94481
1727821500000,1.6656,1.6669,1.6626,1.6649,51490,85711.45487
1727821800000,1.6649,1.6713,1.6596,1.6709,35131.5,58500.50663
1727822100000,1.6709,1.6716,1.6609,1.6609,49776.7,82897.2453
1727822400000,1.6609,1.6627,1.6568,1.6589,44987.4,74669.82522
1727822700000,1.6589,1.661,1.6552,1.6583,26540.3,44022.40401
1727823000000,1.6583,1.6663,1.6577,1.6621,65193.7,108458.81157
1727823300000,1.6621,1.663,1.6597,1.6607,45805.2,76110.36559
1727823600000,1.6607,1.6629,1.656,1.6614,50069.4,83103.197
1727823900000,1.6614,1.6659,1.6592,1.6628,63553.2,105693.24043
1727824200000,1.6628,1.6628,1.656,1.6572,43114.7,71529.9714
1727824500000,1.6572,1.6639,1.6567,1.6613,31740.8,52693.06215
1727824800000,1.6613,1.6637,1.6592,1.6629,42737.1,71024.2894
1727825100000,1.6629,1.6629,1.6496,1.6501,139671.8,231055.31079
1727825400000,1.6501,1.6556,1.6498,1.6551,58313.4,96349.57441
