startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1727808300000,5.244,5.25,5.208,5.218,161517.8,843989.0277
1727808600000,5.218,5.25,5.209,5.221,123057.7,643356.6529
1727808900000,5.221,5.247,5.216,5.224,82873.5,433412.4567
1727809200000,5.224,5.236,5.198,5.209,102115.6,532437.428
1727809500000,5.209,5.228,5.194,5.203,83890.6,437047.1301
1727809800000,5.203,5.206,5.166,5.168,147567,765130.0406
1727810100000,5.168,5.207,5.145,5.204,211221.9,1093204.0184
1727810400000,5.204,5.205,5.173,5.196,141287,733722.4449
1727810700000,5.196,5.204,5.176,5.2,106748.3,554073.8182
1727811000000,5.2,5.2,5.153,5.155,94363.3,488317.7159
1727811300000,5.155,5.194,5.149,5.171,83691.9,432445.4011
1727811600000,5.171,5.181,5.153,5.165,36730.1,189808.6137
1727811900000,5.165,5.173,5.153,5.153,39800.7,205548.8025
1727812200000,5.153,5.166,5.136,5.141,71276.4,367031.0145
1727812500000,5.141,5.15,5.115,5.123,91858.7,470996.2608
1727812800000,5.123,5.147,5.121,5.13,76915.1,394857.5923
1727813100000,5.13,5.141,5.096,5.111,196989.6,1007607.871
1727813400000,5.111,5.169,5.11,5.149,199394.7,1024598.9414
1727813700000,5.149,5.164,5.131,5.135,101019,519824.087
1727814000000,5.135,5.157,5.121,5.136,88623.7,455296.3935
1727814300000,5.136,5.142,5.076,5.096,282843.7,1443745.9949
1727814600000,5.096,5.142,5.092,5.105,177931.4,909592.36
1727814900000,5.105,5.123,5.047,5.076,401173.4,2037913.1897
1727815200000,5.076,5.142,5.031,5.135,378467.5,1926498.124
1727815500000,5.135,5.167,5.094,5.158,313751.6,1609099.1978
1727815800000,5.158,5.174,5.13,5.149,105292.7,542859.0536
1727816100000,5.149,5.162,5.124,5.14,149158.4,766816.7218
1727816400000,5.14,5.16,5.126,5.15,113408.6,583078.369
1727816700000,5.15,5.156,5.092,5.094,86337.8,442286.6243
1727817000000,5.094,5.137,5.086,5.137,76184.1,388831.2534
1727817300000,5.137,5.14,5.102,5.102,81654,417856.4701
1727817600000,5.102,5.118,5.096,5.117,48982.8,250225.787
1727817900000,5.117,5.132,5.11,5.13,31084.5,159145.6732
1727818200000,5.13,5.13,5.11,5.122,27446.8,140490.0986
1727818500000,5.122,5.131,5.106,5.129,18363.6,93967.6926
1727818800000,5.129,5.147,5.124,5.141,37844.2,194369.0712
1727819100000,5.141,5.151,5.135,5.138,17769.6,91344.2841
1727819400000,5.138,5.146,5.131,5.145,30111,154759.3965
1727819700000,5.145,5.146,5.128,5.134,34708.2,178292.2422
1727820000000,5.134,5.135,5.085,5.093,102452.7,523418.3536
1727820300000,5.093,5.095,5.058,5.06,156794.7,796187.5489
1727820600000,5.06,5.097,5.059,5.085,109018.5,553769.2676
1727820900000,5.085,5.107,5.082,5.089,40850.4,208028.683
1727821200000,5.089,5.094,5.065,5.069,74003.4,375424.4425
1727821500000,5.069,5.071,5.049,5.055,35480.9,179455.5973
1727821800000,5.055,5.083,5.039,5.083,62017.4,313871.1336
1727822100000,5.083,5.083,5.046,5.046,65066.5,329488.5695
1727822400000,5.046,5.065,5.037,5.047,44319.9,223787.8721
1727822700000,5.047,5.062,5.043,5.052,34120.6,172495.6506
1727823000000,5.052,5.087,5.049,5.07,64501.4,327197.4907
1727823300000,5.07,5.077,5.06,5.069,16895,85627.4013
1727823600000,5.069,5.092,5.063,5.085,29589.5,150227.2637
1727823900000,5.085,5.101,5.078,5.091,38919.9,198175.1583
1727824200000,5.091,5.091,5.067,5.072,22215.9,112783.3206
1727824500000,5.072,5.099,5.071,5.091,30126.7,153285.2684
1727824800000,5.091,5.103,5.084,5.093,67521.8,343948.4987
1727825100000,5.093,5.093,5.046,5.048,48557.6,245983.0445
1727825400000,5.048,5.071,5.046,5.069,43873.7,221889.8
1727825700000,5.069,5.107,5.065,5.099,57941.3,294971.4368
1727826000000,5.099,5.115,5.093,5.115,50097.7,255610.6949
1727826300000,5.115,5.115,5.094,5.1,61773,315242.7038
1727826600000,5.1,5.108,5.095,5.098,17138.1,87423.0643
1727826900000,5.098,5.098,5.072,5.082,75390,383198.5322
1727827200000,5.082,5.093,5.055,5.08,112037.5,568631.6593
1727827500000,5.08,5.112,5.078,5.103,53159,271056.7682
1727827800000,5.103,5.109,5.083,5.089,61074.6,311067.1539
1727828100000,5.089,5.106,5.064,5.102,43727.7,222290.1059
1727828400000,5.102,5.102,5.049,5.066,56200.9,284550.8962
1727828700000,5.066,5.113,5.066,5.103,141221.7,720815.3026
1727829000000,5.103,5.125,5.093,5.12,78351,400363.2886
1727829300000,5.12,5.143,5.118,5.133,73288.5,376266.3577
1727829600000,5.133,5.142,5.118,5.118,36633.2,187901.4376
1727829900000,5.118,5.132,5.088,5.095,23297.1,118986.1942
1727830200000,5.095,5.095,5.076,5.078,53559,272322.8218
1727830500000,5.078,5.078,5.058,5.067,51162.4,259115.938
1727830800000,5.067,5.084,5.058,5.08,51710.3,262238.3858
1727831100000,5.08,5.102,5.078,5.088,41781.5,212776.7173
1727831400000,5.088,5.11,5.074,5.11,50128.4,255199.379
1727831700000,5.11,5.126,5.099,5.116,46398.1,237317.8058
1727832000000,5.116,5.13,5.102,5.128,25185.9,128739.8039
1727832300000,5.128,5.155,5.127,5.131,96875.9,498130.3766
