startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
1727808300000,0.5988,0.5994,0.5951,0.5953,8032830,4796168.3691
1727808600000,0.5953,0.6031,0.5931,0.603,30645110,18337918.0143
1727808900000,0.603,0.6209,0.6008,0.6205,38540312,23593752.8715
1727809200000,0.6205,0.6266,0.6152,0.6186,82060780,51001104.511
1727809500000,0.6186,0.6272,0.61,0.6129,53003155,32857218.5056
1727809800000,0.6129,0.6151,0.6071,0.6114,29763514,18175725.0196
1727810100000,0.6114,0.6119,0.6066,0.6113,16854797,10262155.9142
1727810400000,0.6113,0.6173,0.6108,0.6164,11952459,7341997.2704
1727810700000,0.6164,0.6194,0.613,0.6141,13949108,8594840.9099
1727811000000,0.6141,0.6223,0.6089,0.6128,48023354,29592275.2739
1727811300000,0.6128,0.6221,0.6128,0.6169,44325098,27339425.5126
1727811600000,0.6169,0.6171,0.6014,0.6044,28571214,17371551.4571
1727811900000,0.6044,0.609,0.6036,0.6067,9076576,5502714.4029
1727812200000,0.6067,0.6111,0.6055,0.6108,9261117,5637889.5044
1727812500000,0.6108,0.6132,0.6095,0.6103,7954286,4862509.7453
1727812800000,0.6103,0.6113,0.6051,0.6066,4828709,2935792.3249
1727813100000,0.6066,0.6083,0.6032,0.6041,8793203,5327810.0826
1727813400000,0.6041,0.6073,0.604,0.6066,3654962,2212655.3535
1727813700000,0.6066,0.6095,0.6059,0.608,4798070,2918210.7463
1727814000000,0.608,0.619,0.6073,0.6138,29473865,18047081.0171
1727814300000,0.6138,0.6142,0.6063,0.6088,17941438,10948753.3358
1727814600000,0.6088,0.6131,0.6069,0.6077,6637364,4046051.3621
1727814900000,0.6077,0.6083,0.5984,0.601,16337265,9829428.1769
1727815200000,0.601,0.606,0.5988,0.6055,7137858,4300717.3245
1727815500000,0.6055,0.6102,0.6022,0.6093,5942955,3600973.6081
1727815800000,0.6093,0.6114,0.6071,0.6085,6102462,3719434.5752
1727816100000,0.6085,0.6091,0.6048,0.6061,5268056,3198564.4734
1727816400000,0.6061,0.6076,0.6034,0.6046,3827521,2316953.1549
1727816700000,0.6046,0.6046,0.5989,0.5997,6150647,3698681.3988
1727817000000,0.5997,0.6011,0.5981,0.6009,5167018,3099759.5088
1727817300000,0.6009,0.6017,0.5981,0.5985,3146389,1887885.1475
1727817600000,0.5985,0.5986,0.5911,0.5949,13999680,8323765.2634
1727817900000,0.5949,0.5969,0.5922,0.5957,5068025,3013914.6337
1727818200000,0.5957,0.598,0.5941,0.5942,3492293,2082788.728
1727818500000,0.5942,0.5952,0.5879,0.5952,7169927,4240139.5393
1727818800000,0.5952,0.5966,0.5947,0.5962,1825959,1088235.2001
1727819100000,0.5962,0.5998,0.596,0.5997,2429394,1453063.0085
1727819400000,0.5997,0.6012,0.5997,0.6012,1437808,863315.964
1727819700000,0.6012,0.6021,0.5997,0.6015,3248754,1952283.6848
1727820000000,0.6015,0.6021,0.5985,0.5989,7333209,4401131.0856
1727820300000,0.5989,0.5999,0.5982,0.5985,5043378,3021811.4954
1727820600000,0.5985,0.599,0.5972,0.5986,4622615,2764056.3771
1727820900000,0.5986,0.6006,0.598,0.5998,2519056,1510140.261
1727821200000,0.5998,0.6001,0.5965,0.5972,2816752,1684794.5562
1727821500000,0.5972,0.5972,0.5947,0.595,3817324,2274386.211
1727821800000,0.595,0.5978,0.5939,0.5971,4057051,2416854.344
1727822100000,0.5971,0.5979,0.5931,0.5935,3249055,1934334.139
1727822400000,0.5935,0.5943,0.5922,0.5927,2428586,1441435.7453
1727822700000,0.5927,0.5938,0.5907,0.5926,4100419,2428637.6784
1727823000000,0.5926,0.5941,0.5917,0.5932,3949920,2342409.6832
1727823300000,0.5932,0.5949,0.5928,0.5946,1345457,798973.0288
1727823600000,0.5946,0.595,0.592,0.595,3176790,1884814.1849
1727823900000,0.595,0.5968,0.5949,0.5961,1701987,1014167.7307
1727824200000,0.5961,0.5979,0.5952,0.5978,1448127,863680.7776
1727824500000,0.5978,0.5988,0.5971,0.5976,1542415,922471.753
1727824800000,0.5976,0.5982,0.5972,0.5976,1693141,1011928.2069
1727825100000,0.5976,0.5976,0.5951,0.5951,1274157,759229.1639
1727825400000,0.5951,0.5962,0.5946,0.5959,1047655,623760.3928
1727825700000,0.5959,0.598,0.5955,0.5975,996100,594709.5131
1727826000000,0.5975,0.5985,0.5971,0.5985,1275188,762356.6987
1727826300000,0.5985,0.5985,0.5973,0.5977,517573,309425.1668
1727826600000,0.5977,0.5985,0.597,0.5971,1390647,831461.2353
1727826900000,0.5971,0.5971,0.5962,0.5965,814994,486216.3369
1727827200000,0.5965,0.5965,0.594,0.5962,4060077,2415807.9341
1727827500000,0.5962,0.5995,0.5962,0.5994,2530891,1514342.7989
1727827800000,0.5994,0.5998,0.5983,0.5985,1561255,935264.5993
1727828100000,0.5985,0.6017,0.5969,0.601,3173496,1901863.9303
1727828400000,0.601,0.601,0.5968,0.5981,1452841,869617.6357
1727828700000,0.5981,0.6012,0.5981,0.6,1452486,871734.035
1727829000000,0.6,0.6014,0.5994,0.6012,1010045,606561.3524
1727829300000,0.6012,0.6032,0.6011,0.6024,2614033,1574574.9531
1727829600000,0.6024,0.6037,0.6019,0.6023,1236894,745817.7316
1727829900000,0.6023,0.6025,0.6001,0.6015,1581581,951130.8633
1727830200000,0.6015,0.6022,0.6005,0.6017,495595,298057.5233
1727830500000,0.6017,0.6022,0.6009,0.6018,634477,381630.8028
1727830800000,0.6018,0.6029,0.6002,0.6027,939293,564859.9643
1727831100000,0.6027,0.6036,0.6018,0.6019,1044232,629509.6233
1727831400000,0.6019,0.6034,0.6019,0.603,1819400,1096616.9737
1727831700000,0.603,0.6036,0.6025,0.6027,857302,516918.7281
1727832000000,0.6027,0.6032,0.6022,0.6031,543167,327222.2165
1727832300000,0.6031,0.6051,0.6028,0.6045,1360519,822126.7664
1727832600000,0.6045,0.6051,0.6036,0.6041,934807,564780.2148
1727832900000,0.6041,0.6051,0.6041,0.6041,630688,381261.8816
1727833200000,0.6041,0.6044,0.6032,0.6041,595377,359470.2501
1727833500000,0.6041,0.6055,0.6039,0.6049,1394445,843380.7051
1727833800000,0.6049,0.6052,0.6044,0.6049,1223989,740121.6661
1727834100000,0.6049,0.6072,0.6041,0.606,7611282,4610295.1661
1727834400000,0.606,0.6061,0.6034,0.6038,2089208,1263343.2741
1727834700000,0.6038,0.6038,0.6017,0.6022,3748959,2258088.4643
1727835000000,0.6022,0.6031,0.6016,0.6029,1426445,859182.1645
1727835300000,0.6029,0.6031,0.6019,0.6025,620606,373949.9634
1727835600000,0.6025,0.6028,0.6022,0.6023,550188,331478.5237
1727835900000,0.6023,0.6032,0.6018,0.6032,1786338,1076190.5642
1727836200000,0.6032,0.6037,0.6025,0.6032,757273,456726.2523
1727836500000,0.6032,0.604,0.6024,0.6039,626655,377970.0622
1727836800000,0.6039,0.6046,0.6032,0.6035,1025385,619262.7282
1727837100000,0.6035,0.6037,0.602,0.6033,1083373,653227.9333
1727837400000,0.6033,0.6045,0.6033,0.604,1100981,665008.6259
1727837700000,0.604,0.6046,0.6037,0.6043,550097,332362.398
1727838000000,0.6043,0.6046,0.6037,0.6041,679734,410716.8828
1727838300000,0.6041,0.6048,0.6038,0.6046,569452,344061.1957
1727838600000,0.6046,0.6047,0.6028,0.6031,957733,577982.4119
1727838900000,0.6031,0.6051,0.603,0.6046,878710,531077.4683
1727839200000,0.6046,0.605,0.6035,0.6035,496004,299657.539
1727839500000,0.6035,0.6041,0.6027,0.6028,636364,384045.3957
1727839800000,0.6028,0.6029,0.6017,0.6026,1459556,879159.7233
1727840100000,0.6026,0.6037,0.6025,0.6036,818117,493334.2463
1727840400000,0.6036,0.6041,0.6034,0.6036,541880,327150.7469
1727840700000,0.6036,0.6037,0.6028,0.6032,373769,225496.729
1727841000000,0.6032,0.6035,0.6026,0.6028,618169,372776.2056
1727841300000,0.6028,0.603,0.602,0.6021,304878,183679.886
1727841600000,0.6021,0.6021,0.5996,0.6005,2693385,1617532.5362
1727841900000,0.6005,0.6006,0.5989,0.5992,3128153,1874945.7626
1727842200000,0.5992,0.6003,0.5989,0.6002,1247686,748321.7714
1727842500000,0.6002,0.6004,0.5994,0.6001,813241,487788.7986
1727842800000,0.6001,0.6009,0.5993,0.5995,1085533,651596.8007
1727843100000,0.5995,0.6014,0.5993,0.6014,631859,379298.2502
1727843400000,0.6014,0.602,0.6008,0.6015,690352,415189.8518
1727843700000,0.6015,0.6026,0.6014,0.6022,843514,507932.0447
1727844000000,0.6022,0.6043,0.6021,0.6043,1468324,886027.527
1727844300000,0.6043,0.6044,0.603,0.6038,1050839,634432.8033
1727844600000,0.6038,0.6047,0.6035,0.6035,1622545,980080.7052
1727844900000,0.6035,0.6039,0.6026,0.6038,1148155,692668.9182
1727845200000,0.6038,0.604,0.6025,0.6033,947379,571615.6338
1727845500000,0.6033,0.6038,0.603,0.603,543116,327704.7521
1727845800000,0.603,0.6031,0.6018,0.6019,1678388,1011073.0462
1727846100000,0.6019,0.6021,0.6005,0.6015,1078540,648565.5796
1727846400000,0.6015,0.6018,0.6005,0.6006,932144,560279.2494
1727846700000,0.6006,0.6014,0.5997,0.6013,990713,595094.7445
1727847000000,0.6013,0.6014,0.5992,0.5997,2249291,1349702.0449
1727847300000,0.5997,0.6003,0.5995,0.5997,1197806,718606.46
1727847600000,0.5997,0.6003,0.5996,0.6002,739591,443670.3265
1727847900000,0.6002,0.6007,0.6,0.6,378058,226957.8055
1727848200000,0.6,0.6003,0.5967,0.5972,6528804,3903373.4247
1727848500000,0.5972,0.5986,0.5971,0.5984,1451425,867891.974
1727848800000,0.5984,0.5992,0.5981,0.5988,1352606,809930.2592
1727849100000,0.5988,0.5988,0.5953,0.5964,4126304,2460650.2295
1727849400000,0.5964,0.5978,0.5963,0.5978,2417964,1443103.9405
1727849700000,0.5978,0.5987,0.597,0.5983,1332316,796646.9552
